SampleID,EOVXX,EOVYY,OID_,esrignss_l,esrignss_1,esrignss_a,Medián_As,Medián_Ca,Medián_Cd,Medián_Co,Medián_Cr,Medián_Cu,Medián_Fe,Medián_K,Medián_Mn,Medián_Mo,Medián_Ni,Medián_Pb,Medián_Ti,Medián_V,Medián_Zn
02_0016_S,842536.9713,257551.7805,230,47.63343832,21.60992293,144.3195327,12.18305397,25291.11133,2.298270226,7.788334846,53.77468872,47.30815887,,6348.227539,398.756012,1.638041735,0.029925462,,2164.605713,63.49962616,119.2752838
06_0081_S,842862.7084,249323.8857,231,47.55937626,21.61066713,170.28,,,,,,,,,,,,,,,
02_0017_S,842764.3437,256815.4592,232,47.62675207,21.61262552,139.7656154,11.00470734,23667.42969,2.399953604,7.534247398,33.26558685,23.27662086,9556.106445,5507.689453,463.1599121,1.314766169,,17.17562485,2606.614502,65.84514618,68.77963257
02_0018_S,843024.8875,256925.2592,233,47.62766222,21.61613815,140.9861104,7.164173126,24016.03516,,4.591202736,67.75817108,8.940209389,6238.019531,9677.804688,320.5204163,0.77199322,20.11732674,,3361.008301,101.3039322,29.94840431
06_0082_S,842724.8998,249546.5731,234,47.56141877,21.60893382,168.06,,,,,,,,,,,,,,,
02_0019_S,842499.8477,256693.4019,235,47.6257328,21.60905512,140.5073055,10.09549046,23640.21094,1.418715239,8.126558304,38.5482254,21.83266449,10222.78711,7488.494141,755.3546753,1.305888176,5.685606003,7.950300217,2629.962891,81.71191406,67.1240387
06_0084_S,842497.473,249969.1213,236,47.56528434,21.60609695,166.78,10.26278591,30581.94336,1.500061274,10.89965057,112.8160782,29.56813812,12803,15652.79785,697.8666382,1.007806724,28.60084915,10.25662899,2967.306396,112.0657501,90.30236816
06_0085_S,842423.2321,250092.6119,237,47.56641633,21.60516452,166.84,,,,,,,,,,,,,,,
02_0020_S,840990.0413,254167.8786,238,47.6034721,21.58788687,132.3046456,9.353569031,28445.30078,1.891539574,9.496277809,79.5664444,24.61743927,11746.27344,12466.56836,546.5823364,1.454362154,16.89944649,1.520522833,2425.463379,74.12345886,73.67115784
02_0021_S,841219.5706,254907.6755,239,47.61005557,21.59125776,137.0155941,8.422530174,24450.48242,1.639874697,6.958763123,40.10194016,23.17348289,9037.470703,9019.707031,519.3511963,1.585081458,6.465698719,,2264.439941,62.39585114,91.1301651
06_0086_S,842256.6438,250129.5917,240,47.56679775,21.60296784,171.8,,,,,,,,,,,,,,,
02_0022_S,840383.0453,254664.8683,241,47.60811696,21.58003262,134.0709693,7.935189247,23587.86914,1.970343113,7.529199123,44.14162445,16.77882195,9461.181641,9944.953125,445.0057678,1.783761144,12.99898243,,2085.704346,60.1883049,42.36536789
06_0088_S,842191.9035,250159.9418,242,47.56708961,21.60212109,169.08,,,,,,,,,,,,,,,
02_0023_S,841275.7758,253658.4278,243,47.59880874,21.5914645,130.8000437,9.018976212,26980.74414,1.261107087,9.030169487,80.49868011,36.58163452,11160.85938,13698.05566,527.9960327,1.062818885,22.94516754,,2592.92749,93.02561188,85.93761444
06_0089_S,842190.8429,250372.1117,244,47.56899729,21.6021991,171.52,,,,,,,,,,,,,,,
02_0024_S,842297.9705,254165.3421,245,47.6030659,21.60527072,132.6384691,8.597100258,27259.20898,1.144171357,7.026072025,73.97306824,22.86405563,8969.3125,10824.58594,486.933136,1.16935277,16.99695587,,2559.917725,75.36520386,68.77963257
06_0090_S,842200.6082,250534.3551,246,47.57045295,21.60239925,168.76,,,,,,,,,,,,,,,
02_0025_S,842759.9728,254799.1692,247,47.60862772,21.61168792,140.3904411,11.3538475,32477.80664,2.460962296,7.334005833,35.75153732,22.45150375,9404.0625,7540.619629,633.4628296,1.797843218,,20.18084908,1857.05127,49.28851318,132.7458038
06_0091_S,842003.1101,250602.3409,248,47.57112212,21.59980523,165.82,,,,,,,,,,,,,,,
02_0026_S,841915.1247,254532.0362,249,47.60647486,21.60034114,132.8651439,11.92119884,26171.51953,1.812734962,9.326324463,129.2855072,42.56373596,11826.43457,9632.192383,538.369812,1.347216129,10.07363224,26.6106205,2397.28418,74.12345886,132.5952759
06_0092_S,841937.9028,250322.277,250,47.56862354,21.5988176,165.1,,,,,,,,,,,,,,,
