SampleID,EOVXX,EOVYY,OID_,esrignss_l,esrignss_1,esrignss_a,Medián_As,Medián_Ca,Medián_Cd,Medián_Co,Medián_Cr,Medián_Cu,Medián_Fe,Medián_K,Medián_Mn,Medián_Mo,Medián_Ni,Medián_Pb,Medián_Ti,Medián_V,Medián_Zn,Medián_As_Gi_Zscore,Medián_Ca_Gi_Zscore,Medián_Cd_Gi_Zscore,Medián_Co_Gi_Zscore,Medián_Cr_Gi_Zscore,Medián_Cu_Gi_Zscore,Medián_Fe_Gi_Zscore,Medián_K_Gi_Zscore,Medián_Mn_Gi_Zscore,Medián_Mo_Gi_Zscore,Medián_Ni_Gi_Zscore,Medián_Pb_Gi_Zscore,Medián_Ti_Gi_Zscore,Medián_V_Gi_Zscore,Medián_Zn_Gi_Zscore
02_0001_S,845588.4737,253695.1635,,47.59786309,21.64879888,128.4968723,9.688160896,23388.96484,2.54739356,8.905649185,79.5664444,17.50079918,11061.93262,8237.810547,520.2156982,1.462628007,11.34127522,4.735413551,2890.820313,87.09283447,35.59247971,-0.8133294608187773,-1.2002956756685776,1.089335736832825,-0.2911944772134196,-0.13651692163077864,-0.5292415987560871,-0.19592016567470527,-1.374408946502802,-0.08925006789004747,0.5523689007730093,-0.6888065768028172,-0.8464620745348074,0.726268340718643,6.446739601229565e-06,-1.2910483161588453
09_0021_S,842298.8724,235140.6292,22.0,47.43203495,21.59703556,101.2800808,12.32125473,24633.68359,1.57632339,9.238823891,76.14826202,19.36,11086.35449,11195.98633,492.9845276,1.204558372,17.19197655,30.03517914,2453.642578,85.02,61.40470886,-0.20610801240229423,-0.8723019310731385,-0.23875707537516538,-0.1377545107482347,-0.26845384217800805,-0.5164160573198178,-0.1855970961568664,0.015033112650852607,-0.2829217330552526,-0.1557302738111853,-0.09538543538375022,-0.16880344790008975,-0.35201482008144397,-0.10874995868335863,-0.9856463458489739
11_0001_S,845825.0044,248689.6706,28.0,47.55279503,21.64972795,178.38,12.29943371,28420.17773,1.28398478,11.45494175,105.9797058,45.3484993,13544.04785,15046.83008,611.850708,0.919548988,26.16305923,29.4760685,3054.259277,111.7898102,117.4691696,-0.04369355515106911,-1.020044112293008,-1.4856120142007427,0.7695301350129483,1.4651497352501448,-0.4327607661459932,0.7128866979122513,1.2782615023654276,-0.14327353345124527,-1.926837343719979,1.4380476316655315,0.07415443271746402,1.452515638337089,1.1462250104548641,0.047763997267577844
11_0002_S,845786.6969,248448.0678,29.0,,,,11.75390244,25837.57227,0.330709189,10.45541763,102.5615158,36.78791046,12569.27637,14369.18457,541.3954468,0.556475759,34.06150818,24.37417984,2966.501221,100.4761124,152.4624329,-0.28906601326648174,-1.346302007699608,-1.778883844747202,0.3978616148707271,1.4715853790268865,-0.5944347228205885,0.35100200642889606,1.1699612230150398,-0.2362275478768322,-2.331739559026442,1.8455305398580748,-0.18271516354876308,1.6071651866242178,1.1641014330115391,-0.22121952410207346
11_0003_S,845612.306,247789.1713,30.0,47.54476346,21.64650597,172.52,13.44868374,26476.15625,1.027236819,10.98715019,109.7086258,50.19607162,13152.75879,12544.75977,571.6523438,0.777809441,24.89540482,40.58839798,3085.658447,109.3063049,149.0007324,-0.7546320741891813,-1.5273746329761824,-2.271626475714768,-0.26324401907833017,1.3299245008346687,-0.8546137828485028,-0.14811578412105694,1.3798858519417248,-0.12451118210922271,-2.6060845653321825,1.6523411775095158,-0.6963338326754741,1.9436330548505798,1.677088768271358,-0.8829216574979122
11_0004_S,845447.2237,247552.9657,31.0,,,,11.33202553,25066.03516,1.078077435,9.755413055,82.05239868,35.7565155,12415.57617,11880.14551,613.5796509,0.878221095,18.45963097,21.29906845,2636.403809,81.29800415,112.7281494,-0.2760185549729458,-1.3256882296312624,-1.024863487691532,-0.04050929359498645,0.55283854987934,-0.12797753839738027,0.03372009819613108,0.3114993403589938,-0.3278966842515616,-1.3234389601364926,0.27232044965367597,-0.1629203689517475,1.2454145035527495,0.9765031422876245,0.03412792189621029
11_0005_S,845697.4293,247043.7221,32.0,,,,27.26151657,29295.35156,3.289676666,23.90356636,128.9747772,110.1202011,27514.8125,11867.11426,813.2749634,2.151732922,19.23972511,173.3772278,2526.907959,101.3039322,315.0117493,4.741648109827239,0.2057380405905081,1.3836310798140101,5.127122720440672,1.4323721633197626,-0.16549470988375267,5.139361768574576,-0.03514039523468688,1.208777204318268,1.7089760291183436,0.12434477510589327,5.359975356792929,-0.23474650125496951,0.6937161565375852,1.8208998340854095
11_0006_S,845300.5969,246965.3028,33.0,,,,28.13436508,27692.60742,1.637333155,10.85590076,89.51026917,44.52338409,12664.47656,10355.44922,491.6877747,1.248335958,18.75216293,181.2047882,2531.738525,91.50792694,191.218399,3.0626551346862136,-0.682081077750442,-0.018457157423086963,3.142921737398257,0.8091915061772672,0.15423164003008122,3.2209579557718477,-0.7060351592613237,0.2992366616015892,0.3589478109192228,0.00570385242815927,3.5641865071376184,-0.3618646655783485,0.07565711030765841,2.1974098181007005
11_0007_S,845339.1357,246566.7592,34.0,47.53385592,21.64234035,168.24,9.69543457,23912.39648,1.306863546,8.217424393,73.35157013,24.10173607,10306.9502,11645.57715,465.3210754,1.210680723,18.84968376,4.735413551,2225.794678,80.60813904,77.28337097,2.115167440739711,-0.47133243386213897,-1.2477727275544503,0.8602942562055063,0.9423408983246335,-0.5660887050270829,0.9379099613399594,-0.18096605674016678,-0.1464746064862018,-0.9901628845669386,0.5152644311758585,2.495509748458175,-0.029434893741059048,0.4882592898894645,1.5613985418369727
11_0010_S,845201.531,246621.2546,36.0,47.53438687,21.64053774,163.66,20.68605614,27638.17188,1.398377776,12.34508991,79.25570679,54.63106918,15171.15039,10277.25781,699.5956421,1.042002439,16.60690498,110.2675934,2507.584961,80.05625916,260.000824,1.7358116499203824,-0.5055734032269296,-2.05777587534844,0.45516508850150866,0.4923989348491374,-0.796192738758286,0.5993732726013611,-0.06696874740750115,-0.4430506168495528,-1.7568084178526633,0.8082976135966592,2.100870655896327,0.3463573394752253,0.6262447908931927,1.121413678507654
